id_alimento;id_usuario;nome_alimento;estado_alimento;alimento_verificado;grupo_alimentar;marca_alimento;alimento_ativo;dtt_criacao_alimento;id_tabela_nutricional;unidade_medida;porcao_padrao;kcal;qtde_proteina;qtde_gordura;qtde_carboidrato;qtde_alcool;qtde_fibra;qtde_saturada;qtde_monosaturada;qtde_polisaturada;qtde_trans;qtde_acucar;qtde_calcio;qtde_ferro;qtde_sodio;qtde_potassio;qtde_vitamina_a;qtde_vitamina_d;qtde_vitamina_e;qtde_vitamina_c
6401301;;Nabo;Refogado(a);;VEGANO;;;;;;;47,74;0,71;2,99;5,06;;2,00;0,46;0,67;1,72;0,02;1,89;33,00;0,18;16,00;177,00;-;-;0,02;11,60
6401601;;Açafrão;Cru(a);;VEGANO;;;;;;;310,00;11,43;5,85;65,37;;3,90;1,59;0,43;2,07;-;-;111,00;11,10;148,00;1724,00;26,50;-;1,69;80,80
6401801;;Batata-inglesa orgânica;Frito(a);;VEGANO;;;;;;;263,50;2,87;13,64;33,60;;3,44;2,15;3,07;7,85;0,07;1,44;13,43;0,53;8,40;550,76;0,28;-;1,20;12,43
6500101;;Creme de arroz;Não se aplica;;VEGANO;;;;;;;148,32;3,80;3,30;26,07;;0,30;1,84;0,83;0,23;0,11;17,40;110,54;0,08;387,30;147,16;27,36;0,96;0,07;0,25
6500104;;Arrozina;Não se aplica;;VEGANO;;;;;;;148,32;3,80;3,30;26,07;;0,30;1,84;0,83;0,23;0,11;17,40;110,54;0,08;387,30;147,16;27,36;0,96;0,07;0,25
6500105;;Mucilon;Não se aplica;;VEGANO;;;;;;;78,24;2,42;3,06;10,46;;0,17;1,35;0,89;0,56;0,23;7,20;124,57;0,22;319,33;156,85;30,10;0,51;0,19;0,15
6500108;;Mingau de arroz;Não se aplica;;VEGANO;;;;;;;148,32;3,80;3,30;26,07;;0,30;1,84;0,83;0,23;0,11;17,40;110,54;0,08;387,30;147,16;27,36;0,96;0,07;0,25
6500202;;Croquinhos de arroz;Não se aplica;;VEGANO;;;;;;;387,00;12,94;4,54;77,90;;14,50;0,70;1,10;2,56;-;0,86;7,00;3,19;8,00;329,00;9,83;-;0,29;-
6500301;;Farinha de aveia;Não se aplica;;VEGANO;;;;;;;384,00;16,00;6,30;67,00;;9,80;1,11;1,98;2,30;-;1,57;52,00;4,20;4,00;350,00;-;-;0,70;-
6500401;;Aveia em flocos;Não se aplica;;VEGANO;;;;;;;384,00;16,00;6,30;67,00;;9,80;1,11;1,98;2,30;-;1,57;52,00;4,20;4,00;350,00;-;-;0,70;-
6500601;;Fubá de milho;Não se aplica;;VEGANO;;;;;;;60,58;1,44;0,20;13,00;;0,26;0,03;0,05;0,08;-;0,52;2,82;0,64;2,65;23,20;0,02;-;0,02;-
6500603;;Farinha de milho;Não se aplica;;VEGANO;;;;;;;351,00;7,20;1,50;79,10;;5,50;0,40;0,40;0,60;-;-;1,00;2,30;45,00;58,00;9,00;-;-;-
6500608;;Puba de milho;Não se aplica;;VEGANO;;;;;;;311,00;4,80;12,40;45,10;;0,70;4,50;3,90;1,50;1,99;8,27;83,00;0,70;134,00;118,00;-;-;-;-
6500609;;Puba de fubá;Não se aplica;;VEGANO;;;;;;;311,00;4,80;12,40;45,10;;0,70;4,50;3,90;1,50;1,99;8,27;83,00;0,70;134,00;118,00;-;-;-;-
6500613;;Milho moído;Cozido(a);;VEGANO;;;;;;;160,14;3,32;7,18;25,11;;4,25;1,12;1,72;4,01;0,03;3,16;3,15;0,45;244,96;212,05;13,17;-;0,57;6,20
6500614;;Mingau de milho;Não se aplica;;VEGANO;;;;;;;78,24;2,42;3,06;10,46;;0,17;1,35;0,89;0,56;0,23;7,20;124,57;0,22;319,33;156,85;30,10;0,51;0,19;0,15
6500702;;Amido de milho;Não se aplica;;VEGANO;;;;;;;78,24;2,42;3,06;10,46;;0,17;1,35;0,89;0,56;0,23;7,20;124,57;0,22;319,33;156,85;30,10;0,51;0,19;0,15
6500705;;Amido de arroz;Não se aplica;;VEGANO;;;;;;;148,32;3,80;3,30;26,07;;0,30;1,84;0,83;0,23;0,11;17,40;110,54;0,08;387,30;147,16;27,36;0,96;0,07;0,25
6500801;;Cremogema;Não se aplica;;VEGANO;;;;;;;78,24;2,42;3,06;10,46;;0,17;1,35;0,89;0,56;0,23;7,20;124,57;0,22;319,33;156,85;30,10;0,51;0,19;0,15
