id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,alimento_ativo,dtt_criacao_alimento,id_tabela_nutricional,unidade_medida,porcao_padrao,kcal,qtde_proteina,qtde_gordura,qtde_carboidrato,qtde_alcool,qtde_fibra,qtde_saturada,qtde_monosaturada,qtde_polisaturada,qtde_trans,qtde_acucar,qtde_calcio,qtde_ferro,qtde_sodio,qtde_potassio,qtde_vitamina_a,qtde_vitamina_d,qtde_vitamina_e,qtde_vitamina_c
80,,Beterraba,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,80,GRAMA,100,44.0,1.7,0.2,10.0,0.0,2.0,0.0,0.0,0.1,,6.5,16.0,0.8,78.0,325.0,1.7,,0.0,4.9
81,,Beterraba,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,81,GRAMA,100,67.6,1.7,2.9,10.0,0.0,2.0,0.0,0.0,0.1,,6.5,16.0,0.8,78.0,325.0,1.7,,0.0,4.9
82,,Cenoura,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,82,GRAMA,100,41.0,0.9,0.2,9.6,0.0,2.8,0.0,0.0,0.1,,4.7,33.0,0.3,69.0,320.0,840.5,,0.9,5.9
83,,Cenoura,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,83,GRAMA,100,35.0,0.8,0.2,8.2,0.0,3.0,0.0,0.0,0.1,,4.7,33.0,0.3,69.0,320.0,840.5,,0.9,5.9
84,,Cenoura,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,84,GRAMA,100,60.5,0.7,3.2,8.0,0.0,2.9,0.0,0.0,0.1,,4.7,33.0,0.3,69.0,320.0,840.5,,0.9,5.9
85,,Cenoura,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,85,GRAMA,100,60.5,0.7,3.2,8.0,0.0,2.9,0.0,0.0,0.1,,4.7,33.0,0.3,69.0,320.0,840.5,,0.9,5.9
86,,Nabo,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,86,GRAMA,100,22.0,0.7,0.1,5.1,0.0,2.0,0.5,0.7,1.7,0.0,1.9,33.0,0.2,16.0,177.0,,,0.0,11.6
87,,Nabo,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,87,GRAMA,100,47.7,0.7,3.0,5.1,0.0,2.0,0.5,0.7,1.7,0.0,1.9,33.0,0.2,16.0,177.0,,,0.0,11.6
88,,Açafrão,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,88,GRAMA,100,310.0,11.4,5.8,65.4,0.0,3.9,1.6,0.4,2.1,,,111.0,11.1,148.0,1724.0,26.5,,1.7,80.8
89,,Batata-inglesa orgânica,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,89,GRAMA,100,263.5,2.9,13.6,33.6,0.0,3.4,2.1,3.1,7.8,0.1,1.4,13.4,0.5,8.4,550.8,0.3,,1.2,12.4
90,,Creme de arroz,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,90,GRAMA,100,148.3,3.8,3.3,26.1,0.0,0.3,1.8,0.8,0.2,0.1,17.4,110.5,0.1,387.3,147.2,27.4,1.0,0.1,0.2
91,,Arrozina,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,91,GRAMA,100,148.3,3.8,3.3,26.1,0.0,0.3,1.8,0.8,0.2,0.1,17.4,110.5,0.1,387.3,147.2,27.4,1.0,0.1,0.2
92,,Mucilon,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,92,GRAMA,100,78.2,2.4,3.1,10.5,0.0,0.2,1.4,0.9,0.6,0.2,7.2,124.6,0.2,319.3,156.8,30.1,0.5,0.2,0.1
93,,Mingau de arroz,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,93,GRAMA,100,148.3,3.8,3.3,26.1,0.0,0.3,1.8,0.8,0.2,0.1,17.4,110.5,0.1,387.3,147.2,27.4,1.0,0.1,0.2
94,,Croquinhos de arroz,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,94,GRAMA,100,387.0,12.9,4.5,77.9,0.0,14.5,0.7,1.1,2.6,,0.9,7.0,3.2,8.0,329.0,9.8,,0.3,
95,,Farinha de aveia,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,95,GRAMA,100,384.0,16.0,6.3,67.0,0.0,9.8,1.1,2.0,2.3,,1.6,52.0,4.2,4.0,350.0,,,0.7,
96,,Aveia em flocos,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,96,GRAMA,100,384.0,16.0,6.3,67.0,0.0,9.8,1.1,2.0,2.3,,1.6,52.0,4.2,4.0,350.0,,,0.7,
97,,Fubá de milho,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,97,GRAMA,100,60.6,1.4,0.2,13.0,0.0,0.3,0.0,0.1,0.1,,0.5,2.8,0.6,2.6,23.2,0.0,,0.0,
98,,Farinha de milho,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,98,GRAMA,100,351.0,7.2,1.5,79.1,0.0,5.5,0.4,0.4,0.6,,,1.0,2.3,45.0,58.0,9.0,,,
99,,Puba de milho,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,99,GRAMA,100,311.0,4.8,12.4,45.1,0.0,0.7,4.5,3.9,1.5,2.0,8.3,83.0,0.7,134.0,118.0,,,,
